"""rands""",a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
rands,0.991869918699187,0.983739837398374,1,1,1,1,0.991869918699187,0.983739837398374,0.991869918699187,0.991869918699187,1,1,1,0.991869918699187,1,1,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,1,1,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,1,1,0.991869918699187,1,1,1,1,1,0.967479674796748,1,1,0.983739837398374,1,0.991869918699187,1,1,1,1,0.991869918699187,1,1,1,1,1
rands,0.514285714285714,0.428571428571429,0.4,0.371428571428571,0.342857142857143,0.4,0.485714285714286,0.4,0.342857142857143,0.485714285714286,0.342857142857143,0.542857142857143,0.371428571428571,0.342857142857143,0.228571428571429,0.457142857142857,0.514285714285714,0.285714285714286,0.628571428571429,0.257142857142857,0.571428571428571,0.457142857142857,0.571428571428571,0.4,0.457142857142857,0.314285714285714,0.4,0.457142857142857,0.457142857142857,0.371428571428571,0.457142857142857,0.371428571428571,0.457142857142857,0.571428571428571,0.485714285714286,0.314285714285714,0.4,0.428571428571429,0.342857142857143,0.342857142857143,0.457142857142857,0.371428571428571,0.371428571428571,0.457142857142857,0.457142857142857,0.314285714285714,0.342857142857143,0.285714285714286,0.257142857142857,0.285714285714286
rands,0.877697841726619,0.858156028368794,0.854166666666667,0.848275862068966,0.842465753424658,0.854166666666667,0.871428571428572,0.852112676056338,0.841379310344828,0.871428571428572,0.842465753424658,0.884892086330935,0.848275862068966,0.841379310344828,0.82,0.866197183098592,0.877697841726619,0.829931972789116,0.903703703703704,0.824324324324324,0.891304347826087,0.866197183098592,0.89051094890511,0.853146853146853,0.865248226950355,0.835616438356164,0.854166666666667,0.866197183098592,0.865248226950355,0.848275862068966,0.866197183098592,0.848275862068966,0.866197183098592,0.891304347826087,0.868613138686131,0.836734693877551,0.854166666666667,0.858156028368794,0.842465753424658,0.841379310344828,0.866197183098592,0.848275862068966,0.848275862068966,0.866197183098592,0.865248226950355,0.836734693877551,0.842465753424658,0.831081081081081,0.825503355704698,0.831081081081081
rands,0.947368421052631,0.882352941176471,1,1,1,1,0.944444444444444,0.875,0.923076923076923,0.944444444444444,1,1,1,0.923076923076923,1,1,0.947368421052631,0.909090909090909,0.956521739130435,0.9,1,1,0.952380952380952,0.933333333333333,0.941176470588235,0.916666666666666,1,1,0.941176470588235,1,1,1,1,1,0.80952380952381,1,1,0.882352941176471,1,0.923076923076923,1,1,1,1,0.941176470588235,1,1,1,1,1
rands,0.877697841726619,0.858156028368794,0.854166666666667,0.848275862068966,0.842465753424658,0.854166666666667,0.871428571428572,0.852112676056338,0.841379310344828,0.871428571428572,0.842465753424658,0.884892086330935,0.848275862068966,0.841379310344828,0.82,0.866197183098592,0.877697841726619,0.829931972789116,0.903703703703704,0.824324324324324,0.891304347826087,0.866197183098592,0.89051094890511,0.853146853146853,0.865248226950355,0.835616438356164,0.854166666666667,0.866197183098592,0.865248226950355,0.848275862068966,0.866197183098592,0.848275862068966,0.866197183098592,0.891304347826087,0.868613138686131,0.836734693877551,0.854166666666667,0.858156028368794,0.842465753424658,0.841379310344828,0.866197183098592,0.848275862068966,0.848275862068966,0.866197183098592,0.865248226950355,0.836734693877551,0.842465753424658,0.831081081081081,0.825503355704698,0.831081081081081
rands,0.991869918699187,0.983739837398374,1,1,1,1,0.991869918699187,0.983739837398374,0.991869918699187,0.991869918699187,1,1,1,0.991869918699187,1,1,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,1,1,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,1,1,0.991869918699187,1,1,1,1,1,0.967479674796748,1,1,0.983739837398374,1,0.991869918699187,1,1,1,1,0.991869918699187,1,1,1,1,1
rands,0.931297709923664,0.916666666666667,0.921348314606742,0.917910447761194,0.914498141263941,0.921348314606742,0.927756653992395,0.913207547169811,0.91044776119403,0.927756653992395,0.914498141263941,0.938931297709924,0.917910447761194,0.91044776119403,0.901098901098901,0.928301886792453,0.931297709923664,0.903703703703704,0.945736434108527,0.900369003690037,0.942528735632184,0.928301886792453,0.938461538461539,0.917293233082707,0.924242424242424,0.907063197026022,0.921348314606742,0.928301886792453,0.924242424242424,0.917910447761194,0.928301886792453,0.917910447761194,0.928301886792453,0.942528735632184,0.915384615384616,0.911111111111111,0.921348314606742,0.916666666666667,0.914498141263941,0.91044776119403,0.928301886792453,0.917910447761194,0.917910447761194,0.928301886792453,0.924242424242424,0.911111111111111,0.914498141263941,0.907749077490775,0.904411764705882,0.907749077490775
rands,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228
rands,0.772151898734177,0.765822784810127,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.772151898734177,0.765822784810127,0.772151898734177,0.772151898734177,0.778481012658228,0.778481012658228,0.778481012658228,0.772151898734177,0.778481012658228,0.778481012658228,0.772151898734177,0.772151898734177,0.772151898734177,0.772151898734177,0.778481012658228,0.778481012658228,0.772151898734177,0.772151898734177,0.772151898734177,0.772151898734177,0.778481012658228,0.778481012658228,0.772151898734177,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.753164556962025,0.778481012658228,0.778481012658228,0.765822784810127,0.778481012658228,0.772151898734177,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.772151898734177,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228,0.778481012658228
rands,0.879746835443038,0.892405063291139,0.911392405063291,0.917721518987342,0.924050632911392,0.911392405063291,0.886075949367089,0.89873417721519,0.917721518987342,0.886075949367089,0.924050632911392,0.879746835443038,0.917721518987342,0.917721518987342,0.949367088607595,0.89873417721519,0.879746835443038,0.930379746835443,0.854430379746835,0.936708860759494,0.873417721518987,0.89873417721519,0.867088607594937,0.905063291139241,0.892405063291139,0.924050632911392,0.911392405063291,0.89873417721519,0.892405063291139,0.917721518987342,0.89873417721519,0.917721518987342,0.89873417721519,0.873417721518987,0.867088607594937,0.930379746835443,0.911392405063291,0.892405063291139,0.924050632911392,0.917721518987342,0.89873417721519,0.917721518987342,0.917721518987342,0.89873417721519,0.892405063291139,0.930379746835443,0.924050632911392,0.936708860759494,0.943037974683544,0.936708860759494
rands,0.753077816492451,0.706155632984901,0.7,0.685714285714286,0.671428571428572,0.7,0.738792102206736,0.691869918699187,0.667363530778165,0.738792102206736,0.671428571428572,0.771428571428571,0.685714285714286,0.667363530778165,0.614285714285714,0.728571428571429,0.753077816492451,0.638792102206736,0.810220673635308,0.624506387921022,0.785714285714286,0.728571428571429,0.781649245063879,0.695934959349594,0.724506387921022,0.653077816492451,0.7,0.728571428571429,0.724506387921022,0.685714285714286,0.728571428571429,0.685714285714286,0.728571428571429,0.785714285714286,0.726596980255517,0.657142857142857,0.7,0.706155632984901,0.671428571428572,0.667363530778165,0.728571428571429,0.685714285714286,0.685714285714286,0.728571428571429,0.724506387921022,0.657142857142857,0.671428571428572,0.642857142857143,0.628571428571429,0.642857142857143
